date,property,channel,rooms_available,rooms_sold,adr,cancelled_bookings,total_bookings,lead_time_days,event_index
2026-07-25,Harbor Grand,Direct,120,96,229,3,30,18,1.0
2026-07-25,Harbor Grand,OTA,120,18,211,4,24,12,1.0
2026-07-25,City Central,Direct,90,61,189,2,20,14,1.0
2026-07-25,City Central,Corporate,90,18,175,1,12,25,1.0
2026-07-26,Harbor Grand,Direct,120,101,239,2,32,17,1.1
2026-07-26,Harbor Grand,OTA,120,14,219,3,19,10,1.1
2026-07-26,City Central,Direct,90,65,194,1,21,13,1.0
2026-07-26,City Central,Corporate,90,17,178,1,11,23,1.0
2026-07-27,Harbor Grand,Direct,120,88,221,4,28,16,0.9
2026-07-27,Harbor Grand,OTA,120,19,205,5,25,9,0.9
2026-07-27,City Central,Direct,90,58,184,2,19,12,0.9
2026-07-27,City Central,Corporate,90,20,171,1,13,21,0.9
2026-07-28,Harbor Grand,Direct,120,90,224,2,27,15,1.0
2026-07-28,Harbor Grand,OTA,120,17,208,3,21,8,1.0
2026-07-28,City Central,Direct,90,60,187,2,20,11,1.0
2026-07-28,City Central,Corporate,90,19,174,0,12,20,1.0
2026-07-29,Harbor Grand,Direct,120,94,231,2,29,14,1.15
2026-07-29,Harbor Grand,OTA,120,18,214,3,22,8,1.15
2026-07-29,City Central,Direct,90,63,192,1,21,10,1.1
2026-07-29,City Central,Corporate,90,19,177,1,12,19,1.1
2026-07-30,Harbor Grand,Direct,120,99,242,2,31,13,1.3
2026-07-30,Harbor Grand,OTA,120,16,222,2,19,7,1.3
2026-07-30,City Central,Direct,90,67,198,1,22,9,1.2
2026-07-30,City Central,Corporate,90,18,181,1,11,18,1.2
2026-07-31,Harbor Grand,Direct,120,103,252,1,33,12,1.5
2026-07-31,Harbor Grand,OTA,120,15,231,2,18,6,1.5
2026-07-31,City Central,Direct,90,70,205,1,23,8,1.35
2026-07-31,City Central,Corporate,90,17,186,0,10,17,1.35
